codesystem,code,descr_en,descr_es,descr_da
snomed,169720005,Antenatal 35 week examination (procedure),,
snomed,169721009,Antenatal 36 week examination (procedure),,
snomed,169722002,Antenatal 37 week examination (procedure),,
snomed,169723007,Antenatal 38 week examination (procedure),,
snomed,169724001,Antenatal 39 week examination (procedure),,
snomed,169725000,Antenatal 40 week examination (procedure),,
snomed,169726004,Antenatal 41 week examination (procedure),,
snomed,169727008,Antenatal 42 week examination (procedure),,
snomed,169750002,Mother currently breast-feeding (finding),,
snomed,169762003,Postnatal visit (procedure),,
snomed,169763008,Postnatal - first day visit (procedure),,
snomed,169764002,Postnatal - second day visit (procedure),,
snomed,169765001,Postnatal - third day visit (procedure),,
snomed,169766000,Postnatal - fourth day visit (procedure),,
snomed,169767009,Postnatal - fifth day visit (procedure),,
snomed,169768004,Postnatal - sixth day visit (procedure),,
snomed,169769007,Postnatal - seventh day visit (procedure),,
snomed,169770008,Postnatal - eighth day visit (procedure),,
snomed,169771007,Postnatal - ninth day visit (procedure),,
snomed,169772000,Postnatal - tenth day visit (procedure),,
snomed,199206009,Infections of urethra in pregnancy (disorder),,
snomed,11082009,Abnormal pregnancy (finding),,
snomed,237232007,Albuminuria in pregnancy without hypertension (finding),,
snomed,237239003,Low risk pregnancy (finding),,
snomed,267014009,History of - abortion (context-dependent category),,
snomed,267015005,History of - full term delivery (context-dependent category),,
snomed,267021009,History of - myomectomy/hysterotomy (context-dependent category),,
snomed,271903000,History of - pregnancy (context-dependent category),,
snomed,271904006,History of - fetal loss (context-dependent category),,
snomed,272058002,History of past delivery (context-dependent category),,
snomed,275567001,History of - termination (context-dependent category),,
snomed,275568006,History of - normal delivery (context-dependent category),,
snomed,275569003,History of - delivery no details (context-dependent category),,
snomed,275573000,History of - hysterotomy (context-dependent category),,
snomed,275574006,History of - myomectomy (context-dependent category),,
snomed,312891008,Pregnancy-related examination (procedure),,
snomed,127363001,Number of pregnancies, currently pregnant (finding),,
snomed,127364007,Primigravida (finding),,
snomed,14418008,Precocious pregnancy (finding),,
snomed,16356006,Multiple pregnancy (disorder),,
snomed,18114009,Prenatal examination and care of mother (procedure),,
snomed,28079008,Multiparous (finding),,
snomed,34784006,Antepartum state of mother (finding),,
snomed,3882004,Primiparous (finding),,
snomed,41587001,Third trimester pregnancy (finding),,
snomed,42102002,Pre-admission observation, undelivered mother (procedure),,
snomed,45307008,Extrachorial pregnancy (finding),,
snomed,47200007,High risk pregnancy (finding),,
snomed,57630001,First trimester pregnancy (finding),,
snomed,58532003,Unwanted pregnancy (finding),,
snomed,59466002,Second trimester pregnancy (finding),,
snomed,65727000,Intrauterine pregnancy (finding),,
snomed,72892002,Normal pregnancy (finding),,
snomed,83074005,Unplanned pregnancy (finding),,
snomed,87527008,Term pregnancy (finding),,
snomed,91217009,Megaloblastic anemia due to pregnancy (disorder),,
snomed,9279009,Extra-amniotic pregnancy (finding),,
snomed,102874004,Patient ? pregnant,,
snomed,102874004,Think I am pregnant,,
snomed,102874004,Think I am going to have a baby,,
snomed,102876002,Multip,,
snomed,127364007,Primip,,
snomed,47200007,HRP - High risk pregnancy,,
snomed,83074005,Accidental pregnancy,,
snomed,384634009,Postnatal maternal examination (procedure),,
snomed,384635005,Full postnatal examination (procedure),,
snomed,384636006,Maternal postnatal 6 week examination (procedure),,
snomed,386235000,Childbirth preparation (regime/therapy),,
snomed,169762003,Postnatal visit (regime/therapy),,
snomed,169763008,Postnatal - first day visit (regime/therapy),,
snomed,169764002,Postnatal - second day visit (regime/therapy),,
snomed,169765001,Postnatal - third day visit (regime/therapy),,
snomed,169766000,Postnatal - fourth day visit (regime/therapy),,
snomed,169767009,Postnatal - fifth day visit (regime/therapy),,
snomed,169768004,Postnatal - sixth day visit (regime/therapy),,
snomed,169769007,Postnatal - seventh day visit (regime/therapy),,
snomed,169770008,Postnatal - eighth day visit (regime/therapy),,
snomed,169771007,Postnatal - ninth day visit (regime/therapy),,
snomed,169772000,Postnatal - tenth day visit (regime/therapy),,
snomed,134435003,Routine antenatal care (regime/therapy),,
snomed,384634009,Postnatal maternal examination,,
snomed,384635005,Full postnatal examination,,
snomed,384636006,Maternal postnatal 6 week examination,,
snomed,386235000,Childbirth preparation,,
snomed,384634009,Pregnancy follow-up examination,,
snomed,384634009,Postnatal appointment,,
snomed,412758008,H/O: medical termination of pregnancy (context-dependent category),,
snomed,412758008,H/O: medical termination of pregnancy,,
snomed,267014009,History of - fetal loss,,
snomed,412758008,History of - medical termination of pregnancy (context-dependent category),,
snomed,160884000,Wife pregnant (situation),,
snomed,161811009,History of - perinatal fetal loss (situation),,
snomed,161813007,History of - previous forceps delivery (situation),,
snomed,161814001,History of - obstetric problem NOS (situation),,
snomed,161803004,History of - obstetric problem (situation),,
snomed,161804005,History of - antepartum hemorrhage (situation),,
snomed,161805006,History of - cesarean section (situation),,
snomed,161806007,History of - eclampsia (situation),,
snomed,161807003,History of - severe pre-eclampsia (situation),,
snomed,161808008,History of - manual removal of placenta (situation),,
snomed,161809000,History of - postpartum hemorrhage (situation),,
snomed,161810005,History of - prolonged labor (situation),,
snomed,161743003,History of - stillbirth (situation),,
snomed,161744009,History of - miscarriage (situation),,
snomed,161745005,No history of miscarriage (situation),,
snomed,161747002,History of - 1 miscarriage (situation),,
snomed,161748007,History of - 2 miscarriages (situation),,
snomed,161749004,History of - 3 miscarriages (situation),,
snomed,161750004,History of - 4 miscarriages (situation),,
snomed,161751000,History of - 5 miscarriages (situation),,
snomed,161752007,History of - 6 miscarriages (situation),,
snomed,161753002,History of - miscarriage NOS (situation),,
snomed,161755009,No history of abortion (situation),,
snomed,161756005,History of - 1 abortion (situation),,
snomed,161757001,History of - 2 abortions (situation),,
snomed,161758006,History of - 3 abortions (situation),,
snomed,161759003,History of - 4 abortions (situation),,
snomed,161760008,History of - 5 abortions (situation),,
snomed,161761007,History of - 6 abortions (situation),,
snomed,161762000,History of - abortion NOS (situation),,
snomed,161763005,History of - ectopic pregnancy (situation),,
snomed,161765003,History of - premature delivery (situation),,
snomed,161766002,Past pregnancy outcome NOS (situation),,
snomed,267014009,History of - abortion (situation),,
snomed,267015005,History of - full term delivery (situation),,
snomed,267021009,History of - myomectomy/hysterotomy (situation),,
snomed,272058002,History of past delivery (situation),,
snomed,275573000,History of - hysterotomy (situation),,
snomed,275574006,History of - myomectomy (situation),,
snomed,271903000,History of - pregnancy (situation),,
snomed,275568006,History of - normal delivery (situation),,
snomed,275569003,History of - delivery no details (situation),,
snomed,412758008,History of - medical termination of pregnancy (situation),,
snomed,424619006,Prenatal visit (regime/therapy),,
snomed,424441002,Prenatal initial visit (regime/therapy),,
snomed,422808006,Prenatal continuous visit (regime/therapy),,
snomed,424619006,Prenatal visit,,
snomed,424441002,Prenatal initial visit,,
snomed,422808006,Prenatal supplemental visit,,
snomed,102874004,Patient thinks they are pregnant,,
snomed,424441002,Initial prenatal visit,,
snomed,424441002,Antepartum initial visit,,
snomed,422808006,Supplemental prenatal visit,,
snomed,422808006,Antepartum supplemental visit,,
snomed,422808006,Prenatal continuous visit,,
snomed,161811009,History of - perinatal fetal loss,,
snomed,161813007,History of - previous forceps delivery,,
snomed,161814001,History of - obstetric problem NOS,,
snomed,161803004,History of - obstetric problem,,
snomed,161804005,History of - antepartum hemorrhage,,
snomed,161805006,History of - cesarean section,,
snomed,161806007,History of - eclampsia,,
snomed,161807003,History of - severe pre-eclampsia,,
snomed,161808008,History of - manual removal of placenta,,
snomed,161809000,History of - postpartum hemorrhage,,
snomed,161810005,History of - prolonged labor,,
snomed,161751000,History of - 5 miscarriages,,
snomed,161752007,History of - 6 miscarriages,,
snomed,161753002,History of - miscarriage NOS,,
snomed,161756005,History of - 1 abortion,,
snomed,161757001,History of - 2 abortions,,
snomed,161758006,History of - 3 abortions,,
snomed,161759003,History of - 4 abortions,,
snomed,161760008,History of - 5 abortions,,
snomed,161761007,History of - 6 abortions,,
snomed,161762000,History of - abortion NOS,,
snomed,161763005,History of - ectopic pregnancy,,
snomed,161765003,History of - premature delivery,,
snomed,161743003,History of - stillbirth,,
snomed,161744009,History of - miscarriage,,
snomed,161747002,History of - 1 miscarriage,,
snomed,161748007,History of - 2 miscarriages,,
snomed,161749004,History of - 3 miscarriages,,
snomed,161750004,History of - 4 miscarriages,,
snomed,169564004,Pregnant - on abdominal palpation,,
snomed,267014009,History of - abortion,,
snomed,267015005,History of - full term delivery,,
snomed,271903000,History of - pregnancy,,
snomed,275568006,History of - normal delivery,,
snomed,275569003,History of - delivery no details,,
snomed,267021009,History of - myomectomy/hysterotomy,,
snomed,275573000,History of - hysterotomy,,
snomed,275574006,History of - myomectomy,,
snomed,412758008,History of - medical termination of pregnancy,,
snomed,428978004,History of choriocarcinoma of placenta (situation),,
snomed,428978004,History of choriocarcinoma of placenta,,
snomed,430257003,Gastrointestinal tract finding associated with pregnancy (finding),,
snomed,146799005,Possible pregnancy (situation),,
snomed,430257003,Gastrointestinal tract finding associated with pregnancy,,
snomed,169562000,Pregnant - vaginal examination confirms,,
snomed,439311009,Intends to continue pregnancy (finding),,
snomed,439311009,Intends to continue pregnancy,,
snomed,441493008,History of premature labor,,
snomed,441493008,History of premature labour,,
snomed,441493008,History of premature labor (situation),,
snomed,267014009,History of - foetal loss,,
snomed,447222001,Granuloma gravidarum (disorder),,
snomed,447222001,Granuloma gravidarum,,
snomed,472971004,History of gestational diabetes mellitus (situation),,
snomed,472971004,History of gestational diabetes mellitus,,
snomed,161755009,No history of induced termination of pregnancy,,
snomed,161803004,History of obstetric problem (situation),,
snomed,275569003,History of delivery with no details,,
snomed,161747002,History of one miscarriage,,
snomed,161749004,History of three miscarriages,,
snomed,161751000,History of five miscarriages,,
snomed,161805006,History of cesarean section,,
snomed,161807003,History of severe pre-eclampsia,,
snomed,161759003,History of four abortions (situation),,
snomed,161810005,History of prolonged labor,,
snomed,161760008,History of five abortions (situation),,
snomed,275574006,History of myomectomy (situation),,
snomed,161744009,History of miscarriage (situation),,
snomed,161751000,History of five miscarriages (situation),,
snomed,161806007,History of eclampsia,,
snomed,267015005,History of full term delivery,,
snomed,161813007,History of previous forceps delivery,,
snomed,267021009,History of myomectomy or hysterotomy (situation),,
snomed,161805006,History of cesarean section (situation),,
snomed,161808008,History of manual removal of placenta,,
snomed,267015005,History of full term delivery (situation),,
snomed,161811009,History of perinatal fetal loss (situation),,
snomed,161750004,History of four miscarriages,,
snomed,161765003,History of premature delivery,,
snomed,267014009,History of fetal loss,,
snomed,161811009,History of perinatal fetal loss,,
snomed,161761007,History of six abortions,,
snomed,271903000,History of pregnancy (situation),,
snomed,161809000,History of postpartum haemorrhage,,
snomed,161810005,History of prolonged labor (situation),,
snomed,161756005,History of one abortion (situation),,
snomed,161747002,History of one miscarriage (situation),,
snomed,275573000,History of hysterotomy,,
snomed,161759003,History of four abortions,,
snomed,161763005,History of ectopic pregnancy,,
snomed,267014009,History of abortion (situation),,
snomed,161757001,History of two abortions,,
snomed,161813007,History of previous forceps delivery (situation),,
snomed,275568006,History of normal delivery (situation),,
snomed,161765003,History of premature delivery (situation),,
snomed,161804005,History of antepartum hemorrhage,,
snomed,161761007,History of six abortions (situation),,
snomed,161803004,History of obstetric problem,,
snomed,161743003,History of stillbirth (situation),,
snomed,161807003,History of severe pre-eclampsia (situation),,
snomed,161809000,History of postpartum hemorrhage,,
snomed,161806007,History of eclampsia (situation),,
snomed,161750004,History of four miscarriages (situation),,
snomed,161748007,History of two miscarriages (situation),,
snomed,275569003,History of delivery with no details (situation),,
snomed,412758008,History of medical termination of pregnancy (situation),,
snomed,161749004,History of three miscarriages (situation),,
snomed,161804005,History of antepartum hemorrhage (situation),,
snomed,161758006,History of three abortions (situation),,
snomed,161808008,History of manual removal of placenta (situation),,
snomed,412758008,History of medical termination of pregnancy,,
snomed,161763005,History of ectopic pregnancy (situation),,
snomed,161744009,History of miscarriage,,
snomed,161757001,History of two abortions (situation),,
snomed,267014009,History of abortion,,
snomed,275574006,History of myomectomy,,
snomed,271903000,History of pregnancy,,
snomed,161743003,History of stillbirth,,
snomed,267014009,History of foetal loss,,
snomed,161760008,History of five abortions,,
snomed,161756005,History of one abortion,,
snomed,275568006,History of normal delivery,,
snomed,161809000,History of postpartum hemorrhage (situation),,
snomed,161752007,History of six miscarriages (situation),,
snomed,275573000,History of hysterotomy (situation),,
snomed,267021009,History of myomectomy or hysterotomy,,
snomed,161752007,History of six miscarriages,,
snomed,161758006,History of three abortions,,
snomed,161748007,History of two miscarriages,,
snomed,161810005,History of prolonged labour,,
snomed,697994009,History of induced termination of pregnancy under unsafe conditions (situation),,
snomed,697994009,History of induced termination of pregnancy under unsafe conditions,,
snomed,161765003,History of preterm delivery,,
snomed,161811009,H/O: perinatal foetal loss,,
snomed,161811009,History of - perinatal foetal loss,,
snomed,704502000,Partner pregnant (situation),,
snomed,704502000,Partner pregnant,,
snomed,709881001,History of gestational hypertension,,
snomed,709881001,History of gestational hypertension (situation),,
snomed,105651000119100,History of preeclampsia,,
snomed,105651000119100,History of preeclampsia (situation),,
snomed,32271000119102,History of delivery of macrosomal infant (situation),,
snomed,32271000119102,History of delivery of macrosomal infant,,
snomed,713651007,History of pregnancy with abortive outcome,,
snomed,713649008,History of induced termination of pregnancy (situation),,
snomed,713651007,History of pregnancy with abortive outcome (situation),,
snomed,713649008,History of induced termination of pregnancy,,
snomed,713249002,Pyogenic granuloma of gingiva co-occurrent and due to pregnancy (disorder),,
snomed,713249002,Pyogenic granuloma of gingiva co-occurrent and due to pregnancy,,
snomed,105651000119100,History of pre-eclampsia (situation),,
snomed,105651000119100,History of pre-eclampsia,,
snomed,719594003,History of defibulation of vulva to facilitate delivery (situation),,
snomed,719594003,History of defibulation of vulva to facilitate delivery,,
snomed,725924008,History of placenta previa (situation),,
snomed,725924008,History of placenta previa,,
snomed,725924008,History of placenta praevia,,
snomed,725941005,History of third degree perineal laceration (situation),,
snomed,725941005,History of third degree perineal laceration,,
snomed,725942003,History of fourth degree perineal laceration (situation),,
snomed,725942003,History of fourth degree perineal laceration,,
snomed,725943008,History of second degree perineal laceration (situation),,
snomed,725943008,History of second degree perineal laceration,,
snomed,725944002,History of episiotomy (situation),,
snomed,725944002,History of episiotomy,,
snomed,725948004,History of retained placenta (situation),,
snomed,725948004,History of retained placenta,,
snomed,725949007,History of elective cesarean section (situation),,
snomed,725949007,History of elective cesarean section,,
snomed,725949007,History of elective caesarean section,,
snomed,725950007,History of placenta accreta (situation),,
snomed,725950007,History of placenta accreta,,
snomed,725951006,History of emergency cesarean section (situation),,
snomed,725951006,History of emergency cesarean section,,
snomed,725951006,History of emergency caesarean section,,
snomed,725954003,History of induced onset of labor (situation),,
snomed,725954003,History of induced onset of labor,,
snomed,725954003,History of induced onset of labour,,
snomed,726001007,History of live birth (situation),,
snomed,726001007,History of live birth,,
snomed,726513006,History of hemolysis-elevated liver enzymes-low platelet count syndrome (situation),,
snomed,726513006,History of hemolysis-elevated liver enzymes-low platelet count syndrome,,
snomed,726513006,History of haemolysis-elevated liver enzymes-low platelet count syndrome,,
snomed,726513006,H/O: HELLP (hemolysis, elevated liver enzymes, low platelet count) syndrome,,
snomed,726513006,H/O: HELLP (haemolysis, elevated liver enzymes, low platelet count) syndrome,,
snomed,726623007,History of postpartum psychosis (situation),,
snomed,726623007,H/O: postpartum psychosis,,
snomed,726623007,History of postpartum psychosis,,
snomed,726597008,History of spontaneous onset of labor (situation),,
snomed,726597008,H/O: spontaneous onset of labor,,
snomed,726597008,H/O: spontaneous onset of labour,,
snomed,726597008,History of spontaneous onset of labor,,
snomed,726597008,History of spontaneous onset of labour,,
snomed,726625000,History of first degree perineal laceration (situation),,
snomed,726625000,H/O: first degree perineal laceration,,
snomed,726625000,History of first degree perineal laceration,,
snomed,16216731000119106,History of intrauterine fetal death (situation),,
snomed,16216731000119106,History of intrauterine fetal death,,
snomed,16216731000119106,History of intrauterine foetal death,,
snomed,16216821000119102,History of molar pregnancy (situation),,
snomed,16216821000119102,History of molar pregnancy,,
snomed,16216781000119107,History of cholestasis in pregnancy (situation),,
snomed,16216781000119107,History of cholestasis in pregnancy,,
snomed,16216781000119107,H/O: cholestasis of pregnancy,,
snomed,726565008,Past history of small for gestational age baby (situation),,
snomed,726565008,Past history of small for gestational age baby,,
snomed,726565008,H/O: previous small for gestational age baby,,
snomed,726565008,History of previous small for gestational age baby,,
snomed,726565008,History of previous small-for-dates baby,,
snomed,733899004,Past history of baby with fetal growth restriction (situation),,
snomed,733899004,H/O: previous baby with fetal growth restriction,,
snomed,733899004,History of previous baby with fetal growth restriction,,
snomed,733899004,History of previous baby with foetal growth restriction,,
snomed,733899004,Past history of baby with fetal growth restriction,,
snomed,733899004,Past history of baby with foetal growth restriction,,
snomed,726624001,History of previous delivery by vacuum extraction (situation),,
snomed,726624001,H/O: previous delivery by vacuum extraction,,
snomed,726624001,History of previous delivery by vacuum extraction,,
snomed,15011000119104,History of pregnancy loss in non-pregnant woman (situation),,
snomed,15011000119104,History of pregnancy loss in non-pregnant woman,,
snomed,108951000119100,History of preterm premature rupture of membranes (situation),,
snomed,108951000119100,History of preterm premature rupture of membranes,,
snomed,736725001,History of gestational trophoblastic disease (situation),,
snomed,736725001,History of gestational trophoblastic disease,,
snomed,161804005,History of antepartum haemorrhage,,
snomed,161805006,History of caesarean section,,
snomed,127364007,Gravida 1,,
snomed,789776003,History of placental abruption,,
snomed,789776003,History of placental abruption (situation),,
snomed,816150000,History of shoulder dystocia,,
snomed,816150000,History of shoulder dystocia (situation),,
snomed,816161008,Measured gestational weight gain,,
snomed,816161008,Measured gestational weight gain (observable entity),,
snomed,816172003,Measured gestational weight loss,,
snomed,816172003,Measured gestational weight loss (observable entity),,
snomed,16916061000119102,History of postpartum gestational hypertension,,
snomed,16916061000119102,History of postpartum gestational hypertension (situation),,
snomed,16216821000119102,History of hydatidiform mole,,
snomed,1156096005,History of complication occurring during labour and delivery,,
snomed,1156096005,History of complication occurring during labor and delivery (situation),,
snomed,1156096005,History of complication occurring during labor and delivery,,
snomed,1156097001,History of complication of puerperium (situation),,
snomed,1156097001,History of complication of puerperium,,
snomed,1156098006,History of Rhesus isoimmunization affecting pregnancy,,
snomed,1156098006,History of Rhesus isoimmunisation affecting pregnancy,,
snomed,1156098006,History of Rhesus isoimmunization affecting pregnancy (situation),,
snomed,1156099003,History of abnormal glucose tolerance test in pregnancy,,
snomed,1156099003,History of pregnancy with abnormal glucose tolerance test,,
snomed,1156099003,History of pregnancy with abnormal glucose tolerance test (situation),,
snomed,1156101005,History of pregnancy with normal glucose tolerance test,,
snomed,1156101005,History of pregnancy with normal glucose tolerance test (situation),,
snomed,1156101005,History of normal glucose tolerance test in pregnancy,,
snomed,713249002,Pyogenic granuloma of gingiva due to pregnancy (disorder),,
snomed,713249002,Pyogenic granuloma of gingiva due to pregnancy,,
snomed,1208622001,History of short umbilical cord (situation),,
snomed,1208622001,History of short umbilical cord,,
snomed,1230101008,Counseling for pregnancy,,
snomed,1230101008,Counseling for pregnancy (procedure),,
snomed,1230101008,Counselling for pregnancy,,
